sample-id	absolute-filepath	forward-absolute-filepath	reverse-absolute-filepath	type
SRR30160150_CASTELLANO-HINOJOSA_2024	NA	/home/ubuntu/ccm/fastq_files/paired_new/SRR30160150_L001_R1_001.fastq.gz	/home/ubuntu/ccm/fastq_files/paired_new/SRR30160150_L001_R2_001.fastq.gz	paired-end
SRR11319474_WANG_2021	NA	/home/ubuntu/ccm/fastq_files/paired_new/SRR11319474_L001_R1_001.fastq.gz	/home/ubuntu/ccm/fastq_files/paired_new/SRR11319474_L001_R2_001.fastq.gz	paired-end
SRR6072276_ALAGAPPA_2017	NA	/home/ubuntu/ccm/fastq_files/paired_new/SRR6072276_L001_R1_001.fastq.gz	/home/ubuntu/ccm/fastq_files/paired_new/SRR6072276_L001_R2_001.fastq.gz	paired-end
SRR5430109_DIA_2017	NA	/home/ubuntu/ccm/fastq_files/paired_new/SRR5430109_L001_R1_001.fastq.gz	/home/ubuntu/ccm/fastq_files/paired_new/SRR5430109_L001_R2_001.fastq.gz	paired-end
SRR30160151_CASTELLANO-HINOJOSA_2024	NA	/home/ubuntu/ccm/fastq_files/paired_new/SRR30160151_L001_R1_001.fastq.gz	/home/ubuntu/ccm/fastq_files/paired_new/SRR30160151_L001_R2_001.fastq.gz	paired-end
SRR30160125_CASTELLANO-HINOJOSA_2024	NA	/home/ubuntu/ccm/fastq_files/paired_new/SRR30160125_L001_R1_001.fastq.gz	/home/ubuntu/ccm/fastq_files/paired_new/SRR30160125_L001_R2_001.fastq.gz	paired-end
SRR25536410_CUOG_2023	NA	/home/ubuntu/ccm/fastq_files/paired_new/SRR25536410_L001_R1_001.fastq.gz	/home/ubuntu/ccm/fastq_files/paired_new/SRR25536410_L001_R2_001.fastq.gz	paired-end
SRR5487632_PARK_2017	NA	/home/ubuntu/ccm/fastq_files/paired_new/SRR5487632_L001_R1_001.fastq.gz	/home/ubuntu/ccm/fastq_files/paired_new/SRR5487632_L001_R2_001.fastq.gz	paired-end
SRR30160162_CASTELLANO-HINOJOSA_2024	NA	/home/ubuntu/ccm/fastq_files/paired_new/SRR30160162_L001_R1_001.fastq.gz	/home/ubuntu/ccm/fastq_files/paired_new/SRR30160162_L001_R2_001.fastq.gz	paired-end
SRR30160141_CASTELLANO-HINOJOSA_2024	NA	/home/ubuntu/ccm/fastq_files/paired_new/SRR30160141_L001_R1_001.fastq.gz	/home/ubuntu/ccm/fastq_files/paired_new/SRR30160141_L001_R2_001.fastq.gz	paired-end
SRR12492583_BAEK_2021	NA	/home/ubuntu/ccm/fastq_files/paired_new/SRR12492583_L001_R1_001.fastq.gz	/home/ubuntu/ccm/fastq_files/paired_new/SRR12492583_L001_R2_001.fastq.gz	paired-end
SRR5487638_PARK_2017	NA	/home/ubuntu/ccm/fastq_files/paired_new/SRR5487638_L001_R1_001.fastq.gz	/home/ubuntu/ccm/fastq_files/paired_new/SRR5487638_L001_R2_001.fastq.gz	paired-end
SRR908071_DENVER_2013	NA	/home/ubuntu/ccm/fastq_files/paired_new/SRR908071_L001_R1_001.fastq.gz	/home/ubuntu/ccm/fastq_files/paired_new/SRR908071_L001_R2_001.fastq.gz	paired-end
SRR3215144_ZHAO_2017	NA	/home/ubuntu/ccm/fastq_files/paired_new/SRR3215144_L001_R1_001.fastq.gz	/home/ubuntu/ccm/fastq_files/paired_new/SRR3215144_L001_R2_001.fastq.gz	paired-end
SRR3216404_ZHAO_2017	NA	/home/ubuntu/ccm/fastq_files/paired_new/SRR3216404_L001_R1_001.fastq.gz	/home/ubuntu/ccm/fastq_files/paired_new/SRR3216404_L001_R2_001.fastq.gz	paired-end
SRR24578917_ZAKARIA_2023	NA	/home/ubuntu/ccm/fastq_files/paired_new/SRR24578917_L001_R1_001.fastq.gz	/home/ubuntu/ccm/fastq_files/paired_new/SRR24578917_L001_R2_001.fastq.gz	paired-end
SRR3215242_ZHAO_2017	NA	/home/ubuntu/ccm/fastq_files/paired_new/SRR3215242_L001_R1_001.fastq.gz	/home/ubuntu/ccm/fastq_files/paired_new/SRR3215242_L001_R2_001.fastq.gz	paired-end
SRR30160135_CASTELLANO-HINOJOSA_2024	NA	/home/ubuntu/ccm/fastq_files/paired_new/SRR30160135_L001_R1_001.fastq.gz	/home/ubuntu/ccm/fastq_files/paired_new/SRR30160135_L001_R2_001.fastq.gz	paired-end
SRR908074_DENVER_2013	NA	/home/ubuntu/ccm/fastq_files/paired_new/SRR908074_L001_R1_001.fastq.gz	/home/ubuntu/ccm/fastq_files/paired_new/SRR908074_L001_R2_001.fastq.gz	paired-end
